date,user_name,user_loc,message,full_name,country,country_code,geo_code,longitud_mensaje,palabras,refinado,latitud,longitud,states,Polaridad,Subjetividad,Label
2020-10-10 05:16:50,AlanDonn,"Tacoma, Wa",I would vote for the right Republican. Not in its current form. I could never vote for someone involved in Trumpism… https://t.co/QXBekcLXUs,"Tacoma, WA",United States,US,[-122.455344   47.24296 ],140,22,"['would', 'vote', 'right', 'republican', 'current', 'form', 'could', 'never', 'vote', 'someone', 'involved']",-122.455344,47.24296,WA,0.14285714285714285,0.46785714285714286,Positiva
2020-10-10 05:16:48,JoerGolfmiester,United States,@TheLeoTerrell @JoeBiden @SenKamalaHarris #SleepyJoeBiden can't remember the last time he wiped his butt. I wouldn'… https://t.co/vAZvcP8I2X,"Florida, USA",United States,US,[-83.804475  27.698682],140,16,"['sleepyjoebiden', 'remember', 'last', 'time', 'wiped', 'butt']",-83.804475,27.698682,FL,0.0,0.06666666666666667,Neutral
2020-10-10 05:10:37,MurderhornetUS,United States,@CoveringBiden @JoeBiden I can count to potato and I like the smell of toddlers hair - joe biden,"Athol, MA",United States,US,[-72.237258  42.590501],96,18,"['count', 'potato', 'like', 'smell', 'toddlers', 'hair', 'joe', 'biden']",-72.237258,42.590501,MA,0.0,0.0,Neutral
2020-10-10 05:10:22,colllleeen,British Columbia,"I'll be honest... I don't understand the framing of ""a vote for Kanye/Independent is a vote for Donald Trump"". It's… https://t.co/uEJKxsXeOx","Abbotsford, British Columbia",Canada,CA,[-122.267074   49.086996],140,21,"['honest', 'understand', 'framing', 'vote', 'vote', 'donald', 'trump']",-122.267074,49.086996,Non_USA,0.6,0.9,Positiva
2020-10-10 05:09:13,hax0rm0m,"Tampa, FL","@SheriHerman10 @Cirincione @JoeBiden @MSNBC What channel were you watching, FOX? Maybe watch a debate with a real m… https://t.co/LMZS1gtGEM","Florida, USA",United States,US,[-83.804475  27.698682],140,19,"['channel', 'watching', 'fox', 'maybe', 'watch', 'debate', 'real']",-83.804475,27.698682,FL,0.2,0.30000000000000004,Positiva
2020-10-10 05:02:03,RobertReadSR2,United States,Nancy Pelosi wants to legislate -the 25th amendment for Joe Biden !it’s not about Donald Trump !she admitted that !… https://t.co/YhCnCXNW93,"Balmville, NY",United States,US,[-74.003782  41.553343],140,21,"['nancy', 'pelosi', 'wants', 'legislate', 'amendment', 'joe', 'biden', 'donald', 'trump', 'admitted']",-74.003782,41.553343,NY,0.2,0.1,Positiva
2020-10-10 04:56:36,rivet_jeanne,USA,@PopeBlairiusI @BelBevDevoe @AnnaStr76 @JoeBiden But biden is a good man and trump is not. It would be great if i c… https://t.co/DzrgB2x7yG,"Sunrise, FL",United States,US,[-80.294893  26.156619],140,22,"['biden', 'good', 'man', 'trump', 'would', 'great']",-80.294893,26.156619,FL,0.75,0.675,Positiva
2020-10-10 04:30:52,Hutton8Eldon,"canton Lake, Ok.","@swatkins109 @HeatherBarmore @Pangolin1214 @JoeBiden Joe Biden don't care about any Americans.
Only thing Biden and… https://t.co/9bKCZGxPOn","Oklahoma, USA",United States,US,[-98.716992  35.309046],140,16,"['joe', 'biden', 'care', 'americans', 'thing', 'biden']",-98.716992,35.309046,OK,0.0,0.0,Neutral
2020-10-10 04:28:18,GJmn0077,minneSooota ,"@Jillbiden46 @RoArquette @JoeBiden hasn't won a thing , Joe Biden is a token and should be embarrassed the way demo… https://t.co/Rg8n27zlH6","Minneapolis, MN",United States,US,[-93.262046  44.97061 ],140,21,"['thing', 'joe', 'biden', 'token', 'embarrassed', 'way']",-93.262046,44.97061,MN,0.0,0.0,Neutral
2020-10-10 04:10:40,claes69,Chicago,@ABC13News @realDonaldTrump @JoeBiden Joe Biden is a gun owner,"Chicago, IL",United States,US,[-87.732013  41.833584],62,9,"['joe', 'biden', 'gun', 'owner']",-87.732013,41.833584,IL,0.0,0.0,Neutral
2020-10-10 04:10:14,proudamericanmm,"Philadelphia, PA","If you believe this, DM me about some swamp land for sale in Jersey. 🙄🙄🙄Biden is up 52 to 42 points over Trump in p… https://t.co/6wgpeLQcGC","Philadelphia, PA",United States,US,[-75.117998  40.004866],140,26,"['believe', 'swamp', 'land', 'sale', 'jersey', 'points', 'trump']",-75.117998,40.004866,PA,0.0,0.0,Neutral
2020-10-10 04:08:45,Doc_Myles,USA,@SchipperKeith @SteveGuest @JoeBiden 40 people including children and staff at pro Biden event highest number of pe… https://t.co/mYlNJZ0A3q,"Arizona, USA",United States,US,[-111.931711   34.168254],140,18,"['people', 'including', 'children', 'staff', 'pro', 'biden', 'event', 'high', 'number']",-111.931711,34.168254,AZ,0.16,0.5399999999999999,Positiva
2020-10-10 03:49:45,m_kordon,United States,@MAGASpudKAG @trish_regan @JoeBiden @SpeakerPelosi @SenKamalaHarris Pelosi trying to get rid of clueless Biden. Vot… https://t.co/ppNicatAyv,"Dover, OH",United States,US,[-81.477839  40.515069],140,15,"['pelosi', 'trying', 'get', 'rid', 'clueless', 'biden']",-81.477839,40.515069,OH,0.0,0.0,Neutral
2020-10-10 03:44:45,iheartmindy,"Las Vegas, NV","It was so nice of Joe Biden to show up in Nevada today, where he dodged questions and thought he was in Arizona bec… https://t.co/gBId6e46tz","Las Vegas, NV",United States,US,[-115.223125   36.232915],140,25,"['nice', 'joe', 'biden', 'show', 'nevada', 'today', 'dodged', 'questions', 'thought', 'arizona']",-115.223125,36.232915,NV,0.6,1.0,Positiva
2020-10-10 03:32:05,BigFitPanther11,United States,"@JoeBiden
@KamalaHarris
@DrBiden

Arizona ready to go Blue...
Another trip here right before Election will seal the… https://t.co/29gG5wozrJ","San Tan Valley, AZ",United States,US,[-111.560518   33.198236],140,18,"['arizona', 'ready', 'blue', 'another', 'trip', 'right', 'election', 'seal']",-111.560518,33.198236,AZ,0.1619047619047619,0.37857142857142856,Positiva
2020-10-10 03:02:18,mega_tron801,"O town, Utah ","Listen, there is no definitive proof of Biden being a pedophile, there is countless definitive proof of Donald trum… https://t.co/bnPHeluNyI","Ogden, UT",United States,US,[-111.96507    41.217798],140,20,"['listen', 'definitive', 'proof', 'biden', 'pedophile', 'countless', 'definitive', 'proof', 'donald']",-111.96507,41.217798,UT,0.0,0.5,Neutral
2020-10-10 02:35:49,N3TV01D,"Chicago, IL","7] Continuing with the Tara Reade allegation against @JoeBiden: The @nytimes writes, “Ms. Reade and seven other wom… https://t.co/yIUrukyBVC","Whittle-le-Woods, England",United Kingdom,GB,[-2.642043 53.695632],140,19,"['continuing', 'tara', 'reade', 'allegation', 'writes', 'reade', 'seven']",-2.642043,53.695632,Non_USA,0.0,0.0,Neutral
2020-10-10 02:24:44,SaykallyDerrell,"Flat Rock, MI",@chipfranklin @JoeBiden My wife and I are from Michigan and we have voted for Joe Biden and straight Democratic tic… https://t.co/4mF10aCBy4,"Woodhaven, MI",United States,US,[-83.260794  42.146818],140,21,"['wife', 'michigan', 'voted', 'joe', 'biden', 'straight', 'democratic']",-83.260794,42.146818,MI,0.2,0.4,Positiva
2020-10-10 02:23:03,N3TV01D,"Chicago, IL",4] This @nytimes article cites that Ms. Reade has records and witnesses that she worked in the same office as… https://t.co/uuQ9mHOxsb,"Whittle-le-Woods, England",United Kingdom,GB,[-2.642043 53.695632],134,21,"['article', 'cites', 'reade', 'records', 'witnesses', 'worked', 'office']",-2.642043,53.695632,Non_USA,0.0,0.0,Neutral
2020-10-10 02:21:11,dmcrane,"Salem, OR","Yes... Joe Biden is 3.5yrs older than Trump, but Joe is also light years smarter, more decent, and more honest than… https://t.co/P5UrPKJJOt","Hayesville, OR",United States,US,[-122.970721   44.985218],140,22,"['yes', 'joe', 'biden', 'old', 'trump', 'joe', 'also', 'light', 'years', 'smart', 'decent', 'honest']",-122.970721,44.985218,OR,0.2961904761904762,0.6219047619047618,Positiva
2020-10-10 02:12:51,JoeVandevander,"Pennsylvania, USA","@donwinslow @2020Remove Either Joe Biden or Donald Trump will be President for the next four years, so if you’re no… https://t.co/bqHILxPOtN","Bedford, PA",United States,US,[-78.502888  40.025592],140,21,"['either', 'joe', 'biden', 'donald', 'trump', 'president', 'next', 'four', 'years']",-78.502888,40.025592,PA,0.0,0.0,Neutral
2020-10-10 02:12:49,N3TV01D,"Chicago, IL","2] Link to the @nytimes article covering Tara Reade’s sexual assault allegation against @JoeBiden: “Ms. Reade, a fo… https://t.co/FLAn2dUDVK","Whittle-le-Woods, England",United Kingdom,GB,[-2.642043 53.695632],140,19,"['link', 'article', 'covering', 'tara', 'reade', 'sexual', 'assault', 'allegation', 'reade']",-2.642043,53.695632,Non_USA,0.5,0.8333333333333334,Positiva
2020-10-10 02:09:26,J_J_E_,"Menlo Park, CA",.@JoeBiden Twitter: a HS classmate from #NorthCarolina has invited me to convince he and his friends why Biden is t… https://t.co/WG0eqOd2eB,"California, USA",United States,US,[-119.306608   37.269176],140,21,"['twitter', 'classmate', 'northcarolina', 'invited', 'convince', 'friends', 'biden']",-119.306608,37.269176,CA,0.0,0.0,Neutral
2020-10-10 01:59:25,307WindyWyoming,"Wyoming, USA","Trumps team is calling the Commission biased and protecting Biden.  TRUMP HAS COVID!!!  

@JoeBiden isn't dumb!  St… https://t.co/8TLpccRipP","Wheatland, WY",United States,US,[-104.95371    42.052615],140,18,"['trumps', 'team', 'calling', 'commission', 'biased', 'protecting', 'biden', 'trump', 'covid', 'dumb']",-104.95371,42.052615,WY,-0.375,0.5,Negativa
2020-10-10 01:59:22,dilianna,"Denver, CO","Trump esta mandando cajas CLAP a Florida 🥴

A Biden donor who definitely didn't need it just got a box of food in t… https://t.co/xHysgQg6J1","Franconia, VA",United States,US,[-77.152222  38.768868],140,25,"['trump', 'esta', 'mandando', 'cajas', 'clap', 'florida', 'biden', 'donor', 'definitely', 'need', 'got', 'box', 'food']",-77.152222,38.768868,VA,0.0,0.5,Neutral
2020-10-10 01:55:37,307WindyWyoming,"Wyoming, USA",The Commission on Presidential Debates on Friday canceled the second debate between Donald Trump and Joe Biden afte… https://t.co/qqEss1gsWA,"Wheatland, WY",United States,US,[-104.95371    42.052615],140,19,"['commission', 'presidential', 'debates', 'friday', 'canceled', 'second', 'debate', 'donald', 'trump', 'joe', 'biden']",-104.95371,42.052615,WY,0.0,0.0,Neutral
2020-10-10 01:37:08,captainkudzu,"Columbus, Ga.",The most glaring problem with the theory is that Joe Biden just completed a 90-minute debate against Donald Trump l… https://t.co/LGv709fyMO,"Georgia, USA",United States,US,[-83.173866  32.678208],140,21,"['glaring', 'problem', 'theory', 'joe', 'biden', 'completed', 'debate', 'donald', 'trump']",-83.173866,32.678208,GA,0.0,0.0,Neutral
2020-10-10 01:35:55,CaveGirl2020,United States,@JoeBiden So why does every agricultural farm you pass proudly fly a trump flag? My eyes tell me different. We just… https://t.co/nlQ9cuqCgV,"Texas, USA",United States,US,[-100.076888   31.168894],140,22,"['every', 'agricultural', 'farm', 'pass', 'proudly', 'fly', 'trump', 'flag', 'eyes', 'tell', 'different']",-100.076888,31.168894,TX,0.4,0.75,Positiva
2020-10-10 01:28:17,KLehneiswxguy,United States,@FrizzleFelicity @JoeConchaTV @JoeBiden OK LadyLiberty... you got it wrong. Biden is afraid to debate face-to-face.… https://t.co/isD6OvBxnd,"Beavercreek, OH",United States,US,[-84.047553  39.727936],140,16,"['ladyliberty', 'got', 'wrong', 'biden', 'afraid', 'debate']",-84.047553,39.727936,OH,-0.55,0.9,Negativa
2020-10-10 01:23:03,JamesNMildredH1,"Monroe, LA","New ad: ""Vote Joe"" from @UFP_PAC. Funded by @mikebloomberg and featuring Lin-Manuel Miranda, the message is targete… https://t.co/bRbho2gM8O","Monroe, LA",United States,US,[-92.076702  32.521243],140,18,"['new', 'vote', 'joe', 'funded', 'featuring', 'miranda', 'message']",-92.076702,32.521243,LA,0.13636363636363635,0.45454545454545453,Positiva
2020-10-10 01:22:40,KLehneiswxguy,United States,"@NBSaphierMD @JoeBiden Because Joe Biden is chickening out, so he wanted others to help him debating, so he wanted… https://t.co/r743zW8Oqm","Beavercreek, OH",United States,US,[-84.047553  39.727936],139,20,"['joe', 'biden', 'chickening', 'wanted', 'others', 'help', 'debating']",-84.047553,39.727936,OH,0.0,0.0,Neutral
2020-10-10 01:12:30,HarryJo65755386,United States,@ddanpereira @kylegriffin1 @MSNBC @JoeBiden Trump wanted to be in a room with Biden so that he could infect Biden with the coronavirus.,"Nashville, TN",United States,US,[-86.791549  36.200008],135,22,"['trump', 'wanted', 'room', 'biden', 'could', 'infect', 'biden', 'coronavirus']",-86.791549,36.200008,TN,0.0,0.0,Neutral
2020-10-10 01:10:08,njguyinga,"Atlanta, GA","@ccbugggg @JoeConchaTV @JoeBiden Joe Biden is not infected with an illness that has killed 213,000 in 7 months.  Jo… https://t.co/0eujB7hEya","Suwanee, GA",United States,US,[-84.066106  34.04897 ],140,20,"['joe', 'biden', 'infected', 'illness', 'killed', 'months']",-84.066106,34.04897,GA,-0.2,0.0,Negativa
2020-10-10 00:57:34,MannoiaChris,"Tampa, FL","If Donald Trump loses (God Forbid)  I hope he spends the next four years on every social site, news platform, and c… https://t.co/OwW4BWm7va","Elfers, FL",United States,US,[-82.716312  28.213496],140,23,"['donald', 'trump', 'loses', 'god', 'forbid', 'hope', 'spends', 'next', 'four', 'years', 'every', 'social', 'site', 'news', 'platform']",-82.716312,28.213496,FL,-0.08888888888888889,0.05555555555555556,Negativa
2020-10-10 00:48:31,WaltFrench,Isolated in Oakland CA,"@meenaharris @davidmweissman @JoeBiden Bye week for Joe due to Trump failure to show, opting instead for a 2-hr loo… https://t.co/09NgFTyBKe","Oakland, CA",United States,US,[-122.228686   37.791994],140,20,"['bye', 'week', 'joe', 'due', 'trump', 'failure', 'show', 'opting', 'instead']",-122.228686,37.791994,CA,-0.22083333333333335,0.3375,Negativa
2020-10-10 00:36:04,zeituberalas,"California, USA",@NBCNews That's great news! Why give Joe Biden a platform? Joe can't draw flies without Donald Trump.,"Los Osos, CA",United States,US,[-120.832916   35.31801 ],101,17,"['great', 'news', 'give', 'joe', 'biden', 'platform', 'joe', 'draw', 'flies', 'without', 'donald', 'trump']",-120.832916,35.31801,CA,0.8,0.75,Positiva
2020-10-10 00:29:13,Sp8d,"Houston, TX",@psirus2020 @zeroemissionnow @DEJH69619837 @JoeBiden Are you saying Biden is a known racist while you're defending Trump lol?,"Houston, TX",United States,US,[-95.446486  29.838495],125,17,"['saying', 'biden', 'known', 'racist', 'defending', 'trump', 'lol']",-95.446486,29.838495,TX,0.8,0.7,Positiva
2020-10-10 00:21:05,feather043,United States,"@tribelaw Real presidential.
Trump wants any distraction and is blatantly asking for Iran to attack American intere… https://t.co/PL6HbdqvT4","Oregon, USA",United States,US,[-120.583402   44.145436],140,18,"['real', 'presidential', 'trump', 'wants', 'distraction', 'blatantly', 'asking', 'iran', 'attack', 'american']",-120.583402,44.145436,OR,-0.024999999999999994,0.225,Negativa
2020-10-10 00:17:02,ahomsher,"Florida, USA Medellin, Co",This business is owned by Andre Cabo . Mr. Cabo is on a tv commercials for Donald Trump.  He is making factually fa… https://t.co/AzsD98LAgz,"Vero Beach, FL",United States,US,[-80.404734  27.630995],140,24,"['business', 'owned', 'andre', 'cabo', 'cabo', 'commercials', 'donald', 'trump', 'making', 'factually']",-80.404734,27.630995,FL,0.0,0.0,Neutral
2020-10-10 00:14:58,aldepascal,United States,@JoeBiden I'M WITH YOU BIG BAD JOE BIDEN ALL THE WAY TO WHITE HOUSE BABY....I GOT YOUR BACK HERE IN PHX. AZ....SIR… https://t.co/1m5TdbBPdF,"Phoenix, AZ",United States,US,[-112.124677   33.552863],139,23,"['big', 'bad', 'joe', 'biden', 'way', 'white', 'house', 'baby', 'got', 'back', 'phx']",-112.124677,33.552863,AZ,-0.17499999999999996,0.19166666666666665,Negativa
2020-10-10 00:13:50,ahomsher,"Florida, USA Medellin, Co",The owner of this business is Andres Cabo. He is making factually false claims about @JoeBiden tax plan on tv for t… https://t.co/2vaSkxQUGS,"Vero Beach, FL",United States,US,[-80.404734  27.630995],140,23,"['owner', 'business', 'andres', 'cabo', 'making', 'factually', 'false', 'claims', 'tax', 'plan']",-80.404734,27.630995,FL,-0.4000000000000001,0.6,Negativa
2020-10-10 00:06:26,jmarshall1007,"Independence, MO",@ABC13News @realDonaldTrump @JoeBiden President Trump is correct. The Dems arranged or bribed the other candidates… https://t.co/z2mutp5rmc,"Independence, MO",United States,US,[-94.378332  39.088004],139,16,"['president', 'trump', 'correct', 'dems', 'arranged', 'bribed']",-94.378332,39.088004,MO,0.0,0.0,Neutral
2020-10-09 23:55:27,BectonCEV,"East Rutherford, NJ",The Commission on Presidential Debates has canceled the second presidential debate between Pres. Donald Trump and D… https://t.co/VZEEf9pegs,"East Rutherford, NJ",United States,US,[-74.091038  40.821188],140,18,"['commission', 'presidential', 'debates', 'canceled', 'second', 'presidential', 'debate', 'pres', 'donald', 'trump']",-74.091038,40.821188,NJ,0.0,0.0,Neutral
2020-10-09 23:50:02,DandC,"Rochester, NY",Second presidential debate between Joe Biden and Donald Trump canceled https://t.co/KdlOlpcuSw #ROC,Rochester,UNKNOWN,UNKNOWN,[-92.458622  43.999891],99,12,"['second', 'presidential', 'debate', 'joe', 'biden', 'donald', 'trump', 'canceled', 'roc']",-92.458622,43.999891,Non_USA,0.0,0.0,Neutral
2020-10-09 23:36:50,CASinCHI,"Chicago, IL","@NicolleDWallace 
Any chance you could reach out to Pres. Bush to have him endorse @JoeBiden ? He comes from a fami… https://t.co/ldqV0tzgXd","Chicago, IL",United States,US,[-87.732013  41.833584],140,22,"['chance', 'could', 'reach', 'pres', 'bush', 'endorse', 'comes']",-87.732013,41.833584,IL,0.0,0.0,Neutral
2020-10-09 23:34:14,Geiger21B,"Pittsburgh, PA",@preacher_boi45 @Jswans4 @BuzzPatterson @JoeBiden Bro I’m black and #1: Trump has done more than any other Presiden… https://t.co/QFsf0qHWmk,"Pittsburgh, PA",United States,US,[-79.98069   40.431389],140,18,"['bro', 'black', 'trump', 'done']",-79.98069,40.431389,PA,-0.16666666666666666,0.43333333333333335,Negativa
2020-10-09 23:33:29,RobertReadSR2,United States,@TheDemocrats @JoeBiden @KamalaHarris Joe Biden has done nothing in 47 years for this country !what makes you think… https://t.co/VFChaLNSwZ,"Balmville, NY",United States,US,[-74.003782  41.553343],140,19,"['joe', 'biden', 'done', 'nothing', 'years', 'country', 'makes']",-74.003782,41.553343,NY,0.0,0.0,Neutral
2020-10-09 23:23:37,PattiLipscomb,"Westminster, SC","@Go_Carr_Go @JoeBiden Think just like a sporting event at times, one team concedes to another..Trump concedes to Bi… https://t.co/7pI5AMIVWg","South Carolina, USA",United States,US,[-80.926628  33.63114 ],140,19,"['think', 'like', 'sporting', 'event', 'times', 'one', 'team', 'concedes', 'another', 'trump', 'concedes']",-80.926628,33.63114,SC,0.0,0.0,Neutral
2020-10-09 23:16:02,OpenBibleOverc1,"Stratford, Connecticut 06615","#BreakingNews 

The US Commission on #Presidential Debates has announced that the second scheduled face-off between… https://t.co/LP9xAuyg9W","Stratford, CT",United States,US,[-73.126209  41.207828],140,16,"['breakingnews', 'commission', 'presidential', 'debates', 'announced', 'second', 'scheduled']",-73.126209,41.207828,CT,0.0,0.0,Neutral
2020-10-09 23:10:01,not_potus_45,"New York, NY",Does #acb stand for “Amy #COVID #Barrett “? #AskingForAFriend #Trump #BidenHarris2020 #BidenHarris #Biden #Harris… https://t.co/Csewr3Afu5,"Topeka, KS",United States,US,[-95.690732  39.037579],138,15,"['acb', 'stand', 'amy', 'covid', 'barrett', 'askingforafriend', 'trump', 'bidenharris', 'biden']",-95.690732,39.037579,KS,0.0,0.0,Neutral
2020-10-09 23:09:26,dnvigerjr,"Henderson, NV",@natemax @JoeBiden If you believed in science then you would know Joe Biden is sadly suffering from early stage dementia!,"Henderson, NV",United States,US,[-115.038337   36.006256],121,20,"['believed', 'science', 'would', 'know', 'joe', 'biden', 'sadly', 'suffering', 'early', 'stage', 'dementia']",-115.038337,36.006256,NV,-0.2,0.65,Negativa
2020-10-09 23:09:20,baumer72,"Brampton, Ontario",@Marvin_GoHard @JoeBiden No that's not what he's going to do. He's going to wave his magic wand and consult witches… https://t.co/XiD4Wg4OyZ,"Chatham-Kent, Ontario",Canada,CA,[-81.958201  42.163991],140,21,"['going', 'going', 'wave', 'magic', 'wand', 'consult']",-81.958201,42.163991,Non_USA,0.5,1.0,Positiva
2020-10-09 23:08:05,djhutch74,United States,@JoeBiden Why did joe biden tell American people lies about going into Iraq but not the truth.,"Port Charlotte, FL",United States,US,[-82.116175  26.992598],94,17,"['joe', 'biden', 'tell', 'american', 'people', 'lies', 'going', 'iraq', 'truth']",-82.116175,26.992598,FL,0.0,0.0,Neutral
2020-10-09 22:55:30,RobertReadSR2,United States,@TheDemocrats @JoeBiden @KamalaHarris Joe Biden is too old to be the president ! he can’t even make a comment on st… https://t.co/BP0s5mkky4,"Balmville, NY",United States,US,[-74.003782  41.553343],140,22,"['joe', 'biden', 'old', 'president', 'even', 'make', 'comment']",-74.003782,41.553343,NY,0.1,0.2,Positiva
2020-10-09 22:55:13,BushmanOnAir,"Detroit, MI","Thanks for making time today @AshleyEtienne09 https://t.co/BvEbTnNQdc 

Great insight on @JoeBiden","Michigan, USA",United States,US,[-86.270539  45.00118 ],98,11,"['thanks', 'making', 'time', 'today', 'great', 'insight']",-86.270539,45.00118,MI,0.5,0.475,Positiva
2020-10-09 22:55:07,StockWrecker,NW Pennsylvania - Western NY,I have seen a couple of polls today that represent the fact that the majority of Europeans and Canadians want Joe B… https://t.co/5EnLPVYyhB,"Pennsylvania, USA",United States,US,[-77.604684  41.117936],140,23,"['seen', 'couple', 'polls', 'today', 'represent', 'fact', 'majority', 'europeans', 'canadians', 'want', 'joe']",-77.604684,41.117936,PA,0.0,0.0,Neutral
2020-10-09 22:50:23,ntTV_News,University of North Texas,#NOW: The Commission on Presidential Debates has canceled the October 15th debate between Donald Trump and Joe Biden. #ntTV,"Denton, TX",United States,US,[-97.11477   33.202496],123,19,"['commission', 'presidential', 'debates', 'canceled', 'october', 'debate', 'donald', 'trump', 'joe', 'biden', 'nttv']",-97.11477,33.202496,TX,0.0,0.0,Neutral
2020-10-09 22:47:03,EricPearson9,"Atlanta, USA",@RWTrollPatrol @bobhasdogsagain @LindseyGrahamSC @JoeBiden Will Lindsey secretly vote for Joe Biden?,"Atlanta, GA",United States,US,[-84.433106  33.767194],100,11,"['lindsey', 'secretly', 'vote', 'joe', 'biden']",-84.433106,33.767194,GA,-0.4,0.7,Negativa
2020-10-09 22:41:45,NHadgisava,"Hawthorn Woods, IL",@SenatorDole @realDonaldTrump If you are trying to say that Vice President Joe Biden and Donald trump should get in… https://t.co/8xh4ILGn1E,"Hawthorn Woods, IL",United States,US,[-88.067294  42.235412],140,20,"['trying', 'say', 'vice', 'president', 'joe', 'biden', 'donald', 'trump', 'get']",-88.067294,42.235412,IL,0.0,0.0,Neutral
2020-10-09 22:39:47,medic6423,"California, USA ",Oh dear God Trump may be right @JoeBiden is NOT running as high as Hilary Clinton was in 2016 in swing states like… https://t.co/VduF0exci7,"Florin, CA",United States,US,[-121.405451   38.489742],139,24,"['dear', 'god', 'trump', 'may', 'right', 'running', 'high', 'hilary', 'clinton', 'swing', 'states']",-121.405451,38.489742,CA,0.22285714285714286,0.5378571428571428,Positiva
2020-10-09 22:28:16,awarnergarrett,"Albuquerque, NM",Donald Trump has failed as President of the United States of America. Joe Biden is who our next president should be… https://t.co/U3G457oTVI,Bernalillo County,United States,US,[-106.64908    35.041098],140,22,"['donald', 'trump', 'failed', 'president', 'united', 'states', 'america', 'joe', 'biden', 'next', 'president']",-106.64908,35.041098,Non_USA,-0.25,0.15,Negativa
