user_name,message,refinado,nLabel,neg_scores,neu_scores,pos_scores,compound_scores,NOUN,PRON,VERB,ADJ,ADV
RobertReadSR2,Nancy Pelosi wants to legislate -the 25th amendment for Joe Biden !it’s not about Donald Trump !she admitted that !… https://t.co/YhCnCXNW93,"['nancy', 'pelosi', 'wants', 'legislate', 'amendment', 'joe', 'biden', 'donald', 'trump', 'admitted']",1,0.0,0.865,0.135,0.1027,2.0,0.0,3.0,1.0,1.0
rivet_jeanne,@PopeBlairiusI @BelBevDevoe @AnnaStr76 @JoeBiden But biden is a good man and trump is not. It would be great if i c… https://t.co/DzrgB2x7yG,"['biden', 'good', 'man', 'trump', 'would', 'great']",1,0.0,0.364,0.636,0.7906,2.0,1.0,3.0,1.0,0.0
Hutton8Eldon,"@swatkins109 @HeatherBarmore @Pangolin1214 @JoeBiden Joe Biden don't care about any Americans.
Only thing Biden and… https://t.co/9bKCZGxPOn","['joe', 'biden', 'care', 'americans', 'thing', 'biden']",0,0.0,0.61,0.39,0.4939,2.0,0.0,0.0,0.0,0.0
GJmn0077,"@Jillbiden46 @RoArquette @JoeBiden hasn't won a thing , Joe Biden is a token and should be embarrassed the way demo… https://t.co/Rg8n27zlH6","['thing', 'joe', 'biden', 'token', 'embarrassed', 'way']",0,0.333,0.667,0.0,-0.3612,2.0,0.0,4.0,1.0,0.0
claes69,@ABC13News @realDonaldTrump @JoeBiden Joe Biden is a gun owner,"['joe', 'biden', 'gun', 'owner']",0,0.444,0.556,0.0,-0.34,3.0,0.0,2.0,1.0,0.0
proudamericanmm,"If you believe this, DM me about some swamp land for sale in Jersey. 🙄🙄🙄Biden is up 52 to 42 points over Trump in p… https://t.co/6wgpeLQcGC","['believe', 'swamp', 'land', 'sale', 'jersey', 'points', 'trump']",0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0
Doc_Myles,@SchipperKeith @SteveGuest @JoeBiden 40 people including children and staff at pro Biden event highest number of pe… https://t.co/mYlNJZ0A3q,"['people', 'including', 'children', 'staff', 'pro', 'biden', 'event', 'high', 'number']",1,0.0,0.86,0.14,0.0772,3.0,0.0,2.0,2.0,0.0
m_kordon,@MAGASpudKAG @trish_regan @JoeBiden @SpeakerPelosi @SenKamalaHarris Pelosi trying to get rid of clueless Biden. Vot… https://t.co/ppNicatAyv,"['pelosi', 'trying', 'get', 'rid', 'clueless', 'biden']",0,0.333,0.667,0.0,-0.3612,2.0,0.0,2.0,1.0,0.0
iheartmindy,"It was so nice of Joe Biden to show up in Nevada today, where he dodged questions and thought he was in Arizona bec… https://t.co/gBId6e46tz","['nice', 'joe', 'biden', 'show', 'nevada', 'today', 'dodged', 'questions', 'thought', 'arizona']",1,0.0,0.763,0.237,0.4215,3.0,1.0,2.0,1.0,2.0
BigFitPanther11,"@JoeBiden
@KamalaHarris
@DrBiden

Arizona ready to go Blue...
Another trip here right before Election will seal the… https://t.co/29gG5wozrJ","['arizona', 'ready', 'blue', 'another', 'trip', 'right', 'election', 'seal']",1,0.0,0.737,0.263,0.3612,3.0,0.0,1.0,1.0,1.0
mega_tron801,"Listen, there is no definitive proof of Biden being a pedophile, there is countless definitive proof of Donald trum… https://t.co/bnPHeluNyI","['listen', 'definitive', 'proof', 'biden', 'pedophile', 'countless', 'definitive', 'proof', 'donald']",0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
N3TV01D,"7] Continuing with the Tara Reade allegation against @JoeBiden: The @nytimes writes, “Ms. Reade and seven other wom… https://t.co/yIUrukyBVC","['continuing', 'tara', 'reade', 'allegation', 'writes', 'reade', 'seven']",0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0
SaykallyDerrell,@chipfranklin @JoeBiden My wife and I are from Michigan and we have voted for Joe Biden and straight Democratic tic… https://t.co/4mF10aCBy4,"['wife', 'michigan', 'voted', 'joe', 'biden', 'straight', 'democratic']",1,0.0,0.759,0.241,0.2263,2.0,1.0,3.0,0.0,0.0
N3TV01D,4] This @nytimes article cites that Ms. Reade has records and witnesses that she worked in the same office as… https://t.co/uuQ9mHOxsb,"['article', 'cites', 'reade', 'records', 'witnesses', 'worked', 'office']",0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0
dmcrane,"Yes... Joe Biden is 3.5yrs older than Trump, but Joe is also light years smarter, more decent, and more honest than… https://t.co/P5UrPKJJOt","['yes', 'joe', 'biden', 'old', 'trump', 'joe', 'also', 'light', 'years', 'smart', 'decent', 'honest']",1,0.0,0.508,0.492,0.8271,3.0,0.0,2.0,2.0,1.0
JoeVandevander,"@donwinslow @2020Remove Either Joe Biden or Donald Trump will be President for the next four years, so if you’re no… https://t.co/bqHILxPOtN","['either', 'joe', 'biden', 'donald', 'trump', 'president', 'next', 'four', 'years']",0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0
N3TV01D,"2] Link to the @nytimes article covering Tara Reade’s sexual assault allegation against @JoeBiden: “Ms. Reade, a fo… https://t.co/FLAn2dUDVK","['link', 'article', 'covering', 'tara', 'reade', 'sexual', 'assault', 'allegation', 'reade']",1,0.322,0.678,0.0,-0.5859,3.0,0.0,1.0,1.0,0.0
J_J_E_,.@JoeBiden Twitter: a HS classmate from #NorthCarolina has invited me to convince he and his friends why Biden is t… https://t.co/WG0eqOd2eB,"['twitter', 'classmate', 'northcarolina', 'invited', 'convince', 'friends', 'biden']",0,0.0,0.495,0.505,0.6249,3.0,2.0,3.0,1.0,1.0
307WindyWyoming,"Trumps team is calling the Commission biased and protecting Biden.  TRUMP HAS COVID!!!  

@JoeBiden isn't dumb!  St… https://t.co/8TLpccRipP","['trumps', 'team', 'calling', 'commission', 'biased', 'protecting', 'biden', 'trump', 'covid', 'dumb']",-1,0.403,0.597,0.0,-0.6597,2.0,0.0,3.0,0.0,0.0
dilianna,"Trump esta mandando cajas CLAP a Florida 🥴

A Biden donor who definitely didn't need it just got a box of food in t… https://t.co/xHysgQg6J1","['trump', 'esta', 'mandando', 'cajas', 'clap', 'florida', 'biden', 'donor', 'definitely', 'need', 'got', 'box', 'food']",0,0.0,0.816,0.184,0.4019,2.0,2.0,4.0,1.0,1.0
307WindyWyoming,The Commission on Presidential Debates on Friday canceled the second debate between Donald Trump and Joe Biden afte… https://t.co/qqEss1gsWA,"['commission', 'presidential', 'debates', 'friday', 'canceled', 'second', 'debate', 'donald', 'trump', 'joe', 'biden']",0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
captainkudzu,The most glaring problem with the theory is that Joe Biden just completed a 90-minute debate against Donald Trump l… https://t.co/LGv709fyMO,"['glaring', 'problem', 'theory', 'joe', 'biden', 'completed', 'debate', 'donald', 'trump']",0,0.252,0.748,0.0,-0.4019,2.0,0.0,2.0,1.0,2.0
CaveGirl2020,@JoeBiden So why does every agricultural farm you pass proudly fly a trump flag? My eyes tell me different. We just… https://t.co/nlQ9cuqCgV,"['every', 'agricultural', 'farm', 'pass', 'proudly', 'fly', 'trump', 'flag', 'eyes', 'tell', 'different']",1,0.0,0.735,0.265,0.5574,3.0,1.0,2.0,1.0,2.0
KLehneiswxguy,@FrizzleFelicity @JoeConchaTV @JoeBiden OK LadyLiberty... you got it wrong. Biden is afraid to debate face-to-face.… https://t.co/isD6OvBxnd,"['ladyliberty', 'got', 'wrong', 'biden', 'afraid', 'debate']",-1,0.383,0.617,0.0,-0.4767,2.0,1.0,3.0,1.0,0.0
JamesNMildredH1,"New ad: ""Vote Joe"" from @UFP_PAC. Funded by @mikebloomberg and featuring Lin-Manuel Miranda, the message is targete… https://t.co/bRbho2gM8O","['new', 'vote', 'joe', 'funded', 'featuring', 'miranda', 'message']",1,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0
KLehneiswxguy,"@NBSaphierMD @JoeBiden Because Joe Biden is chickening out, so he wanted others to help him debating, so he wanted… https://t.co/r743zW8Oqm","['joe', 'biden', 'chickening', 'wanted', 'others', 'help', 'debating']",0,0.0,0.69,0.31,0.4019,3.0,1.0,4.0,0.0,1.0
HarryJo65755386,@ddanpereira @kylegriffin1 @MSNBC @JoeBiden Trump wanted to be in a room with Biden so that he could infect Biden with the coronavirus.,"['trump', 'wanted', 'room', 'biden', 'could', 'infect', 'biden', 'coronavirus']",0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0
njguyinga,"@ccbugggg @JoeConchaTV @JoeBiden Joe Biden is not infected with an illness that has killed 213,000 in 7 months.  Jo… https://t.co/0eujB7hEya","['joe', 'biden', 'infected', 'illness', 'killed', 'months']",-1,0.776,0.224,0.0,-0.886,3.0,0.0,2.0,1.0,1.0
MannoiaChris,"If Donald Trump loses (God Forbid)  I hope he spends the next four years on every social site, news platform, and c… https://t.co/OwW4BWm7va","['donald', 'trump', 'loses', 'god', 'forbid', 'hope', 'spends', 'next', 'four', 'years', 'every', 'social', 'site', 'news', 'platform']",-1,0.223,0.534,0.243,0.1027,3.0,1.0,2.0,1.0,0.0
WaltFrench,"@meenaharris @davidmweissman @JoeBiden Bye week for Joe due to Trump failure to show, opting instead for a 2-hr loo… https://t.co/09NgFTyBKe","['bye', 'week', 'joe', 'due', 'trump', 'failure', 'show', 'opting', 'instead']",-1,0.292,0.708,0.0,-0.5106,2.0,0.0,2.0,1.0,1.0
zeituberalas,@NBCNews That's great news! Why give Joe Biden a platform? Joe can't draw flies without Donald Trump.,"['great', 'news', 'give', 'joe', 'biden', 'platform', 'joe', 'draw', 'flies', 'without', 'donald', 'trump']",1,0.0,0.728,0.272,0.6249,3.0,0.0,1.0,1.0,1.0
Sp8d,@psirus2020 @zeroemissionnow @DEJH69619837 @JoeBiden Are you saying Biden is a known racist while you're defending Trump lol?,"['saying', 'biden', 'known', 'racist', 'defending', 'trump', 'lol']",1,0.339,0.424,0.237,-0.296,2.0,1.0,2.0,1.0,0.0
feather043,"@tribelaw Real presidential.
Trump wants any distraction and is blatantly asking for Iran to attack American intere… https://t.co/PL6HbdqvT4","['real', 'presidential', 'trump', 'wants', 'distraction', 'blatantly', 'asking', 'iran', 'attack', 'american']",-1,0.416,0.584,0.0,-0.6908,2.0,0.0,3.0,1.0,1.0
ahomsher,This business is owned by Andre Cabo . Mr. Cabo is on a tv commercials for Donald Trump.  He is making factually fa… https://t.co/AzsD98LAgz,"['business', 'owned', 'andre', 'cabo', 'cabo', 'commercials', 'donald', 'trump', 'making', 'factually']",0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0
aldepascal,@JoeBiden I'M WITH YOU BIG BAD JOE BIDEN ALL THE WAY TO WHITE HOUSE BABY....I GOT YOUR BACK HERE IN PHX. AZ....SIR… https://t.co/1m5TdbBPdF,"['big', 'bad', 'joe', 'biden', 'way', 'white', 'house', 'baby', 'got', 'back', 'phx']",-1,0.259,0.741,0.0,-0.5423,2.0,0.0,0.0,1.0,0.0
ahomsher,The owner of this business is Andres Cabo. He is making factually false claims about @JoeBiden tax plan on tv for t… https://t.co/2vaSkxQUGS,"['owner', 'business', 'andres', 'cabo', 'making', 'factually', 'false', 'claims', 'tax', 'plan']",-1,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0
jmarshall1007,@ABC13News @realDonaldTrump @JoeBiden President Trump is correct. The Dems arranged or bribed the other candidates… https://t.co/z2mutp5rmc,"['president', 'trump', 'correct', 'dems', 'arranged', 'bribed']",0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0
BectonCEV,The Commission on Presidential Debates has canceled the second presidential debate between Pres. Donald Trump and D… https://t.co/VZEEf9pegs,"['commission', 'presidential', 'debates', 'canceled', 'second', 'presidential', 'debate', 'pres', 'donald', 'trump']",0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
DandC,Second presidential debate between Joe Biden and Donald Trump canceled https://t.co/KdlOlpcuSw #ROC,"['second', 'presidential', 'debate', 'joe', 'biden', 'donald', 'trump', 'canceled', 'roc']",0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
CASinCHI,"@NicolleDWallace 
Any chance you could reach out to Pres. Bush to have him endorse @JoeBiden ? He comes from a fami… https://t.co/ldqV0tzgXd","['chance', 'could', 'reach', 'pres', 'bush', 'endorse', 'comes']",0,0.0,0.426,0.574,0.5267,2.0,1.0,2.0,0.0,0.0
Geiger21B,@preacher_boi45 @Jswans4 @BuzzPatterson @JoeBiden Bro I’m black and #1: Trump has done more than any other Presiden… https://t.co/QFsf0qHWmk,"['bro', 'black', 'trump', 'done']",-1,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
RobertReadSR2,@TheDemocrats @JoeBiden @KamalaHarris Joe Biden has done nothing in 47 years for this country !what makes you think… https://t.co/VFChaLNSwZ,"['joe', 'biden', 'done', 'nothing', 'years', 'country', 'makes']",0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0
PattiLipscomb,"@Go_Carr_Go @JoeBiden Think just like a sporting event at times, one team concedes to another..Trump concedes to Bi… https://t.co/7pI5AMIVWg","['think', 'like', 'sporting', 'event', 'times', 'one', 'team', 'concedes', 'another', 'trump', 'concedes']",0,0.0,0.8,0.2,0.3612,3.0,0.0,1.0,1.0,1.0
OpenBibleOverc1,"#BreakingNews 

The US Commission on #Presidential Debates has announced that the second scheduled face-off between… https://t.co/LP9xAuyg9W","['breakingnews', 'commission', 'presidential', 'debates', 'announced', 'second', 'scheduled']",0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
not_potus_45,Does #acb stand for “Amy #COVID #Barrett “? #AskingForAFriend #Trump #BidenHarris2020 #BidenHarris #Biden #Harris… https://t.co/Csewr3Afu5,"['acb', 'stand', 'amy', 'covid', 'barrett', 'askingforafriend', 'trump', 'bidenharris', 'biden']",0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
dnvigerjr,@natemax @JoeBiden If you believed in science then you would know Joe Biden is sadly suffering from early stage dementia!,"['believed', 'science', 'would', 'know', 'joe', 'biden', 'sadly', 'suffering', 'early', 'stage', 'dementia']",-1,0.396,0.604,0.0,-0.7096,2.0,1.0,4.0,1.0,1.0
baumer72,@Marvin_GoHard @JoeBiden No that's not what he's going to do. He's going to wave his magic wand and consult witches… https://t.co/XiD4Wg4OyZ,"['going', 'going', 'wave', 'magic', 'wand', 'consult']",1,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0
djhutch74,@JoeBiden Why did joe biden tell American people lies about going into Iraq but not the truth.,"['joe', 'biden', 'tell', 'american', 'people', 'lies', 'going', 'iraq', 'truth']",0,0.231,0.579,0.19,-0.128,3.0,0.0,4.0,1.0,2.0
RobertReadSR2,@TheDemocrats @JoeBiden @KamalaHarris Joe Biden is too old to be the president ! he can’t even make a comment on st… https://t.co/BP0s5mkky4,"['joe', 'biden', 'old', 'president', 'even', 'make', 'comment']",1,0.0,1.0,0.0,0.0,3.0,1.0,4.0,1.0,1.0
BushmanOnAir,"Thanks for making time today @AshleyEtienne09 https://t.co/BvEbTnNQdc 

Great insight on @JoeBiden","['thanks', 'making', 'time', 'today', 'great', 'insight']",1,0.0,0.364,0.636,0.7906,3.0,0.0,2.0,0.0,0.0
StockWrecker,I have seen a couple of polls today that represent the fact that the majority of Europeans and Canadians want Joe B… https://t.co/5EnLPVYyhB,"['seen', 'couple', 'polls', 'today', 'represent', 'fact', 'majority', 'europeans', 'canadians', 'want', 'joe']",0,0.0,0.885,0.115,0.0772,3.0,1.0,2.0,0.0,0.0
ntTV_News,#NOW: The Commission on Presidential Debates has canceled the October 15th debate between Donald Trump and Joe Biden. #ntTV,"['commission', 'presidential', 'debates', 'canceled', 'october', 'debate', 'donald', 'trump', 'joe', 'biden', 'nttv']",0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
EricPearson9,@RWTrollPatrol @bobhasdogsagain @LindseyGrahamSC @JoeBiden Will Lindsey secretly vote for Joe Biden?,"['lindsey', 'secretly', 'vote', 'joe', 'biden']",-1,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0
NHadgisava,@SenatorDole @realDonaldTrump If you are trying to say that Vice President Joe Biden and Donald trump should get in… https://t.co/8xh4ILGn1E,"['trying', 'say', 'vice', 'president', 'joe', 'biden', 'donald', 'trump', 'get']",0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0
medic6423,Oh dear God Trump may be right @JoeBiden is NOT running as high as Hilary Clinton was in 2016 in swing states like… https://t.co/VduF0exci7,"['dear', 'god', 'trump', 'may', 'right', 'running', 'high', 'hilary', 'clinton', 'swing', 'states']",1,0.0,0.657,0.343,0.5719,3.0,0.0,5.0,1.0,0.0
awarnergarrett,Donald Trump has failed as President of the United States of America. Joe Biden is who our next president should be… https://t.co/U3G457oTVI,"['donald', 'trump', 'failed', 'president', 'united', 'states', 'america', 'joe', 'biden', 'next', 'president']",-1,0.219,0.596,0.185,-0.128,2.0,2.0,3.0,1.0,0.0
overdroid,Biden should have a debate anyway. Just set everything up but where trump would be just put a screen with his Twitt… https://t.co/iDwLfxs6GV,"['biden', 'debate', 'anyway', 'set', 'everything', 'trump', 'would', 'put', 'screen']",0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0
susanha77835097,@JoeBiden Pelosi is doing it purposely so she can bet get to be vice president Feinstein and Pelosi Biden show my K… https://t.co/PW7ZKupKXs,"['pelosi', 'purposely', 'bet', 'get', 'vice', 'president', 'feinstein', 'pelosi', 'biden', 'show']",0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0
LindaHorning4,"@SchipperKeith @GOP @JoeBiden Am I missing something? These ppl are all carrying Trump signs, where are the Biden supporters?","['missing', 'something', 'ppl', 'carrying', 'trump', 'signs', 'biden', 'supporters']",-1,0.198,0.541,0.261,0.1779,3.0,1.0,2.0,1.0,1.0
vegasdude83,It's really simple when it comes to the issues that are most important to the American people the kitchen table one… https://t.co/soMn7oUZMl,"['really', 'simple', 'comes', 'issues', 'important', 'american', 'people', 'kitchen', 'table']",1,0.0,0.816,0.184,0.2023,3.0,1.0,2.0,1.0,3.0
hypnocoach183,"New ad: ""Vote Joe"" from @UFP_PAC. Funded by @mikebloomberg and featuring Lin-Manuel Miranda, the message is targete… https://t.co/To1t0QCzSA","['new', 'vote', 'joe', 'funded', 'featuring', 'miranda', 'message']",1,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0
toddymead,@Tony19542 @gatewaypundit @JoeBiden BIDEN was part of CONSPIRACY to overthrow TRUMP ADM. How on EARTH is this SEDIT… https://t.co/ZtB08trgUc,"['biden', 'part', 'conspiracy', 'overthrow', 'trump', 'earth']",0,0.405,0.595,0.0,-0.5267,2.0,0.0,3.0,1.0,0.0
djhutch74,@ToxicHairball @JoeBiden What else is he running on? A mask mandate?  No Medicare for all?  Watching amy coney Barr… https://t.co/uMGfCZeOJq,"['else', 'running', 'mask', 'mandate', 'medicare', 'watching', 'amy', 'coney']",0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0
bankermike747,@JoeBiden Why does Joe Biden not tell us the truth about court packing?,"['joe', 'biden', 'tell', 'truth', 'court', 'packing']",0,0.0,0.685,0.315,0.3182,2.0,1.0,2.0,1.0,2.0
cvilledrew16,I just drive from Georgia to Michigan and saw 63 Trump signs and only 6 Biden signs!! There is no way @JoeBiden is… https://t.co/PlhQs7RwyJ,"['drive', 'georgia', 'michigan', 'saw', 'trump', 'signs', 'biden', 'signs', 'way']",0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0
KanisAngelo,@SchipperKeith @GOP @JoeBiden Joe Biden blows dick,"['joe', 'biden', 'blows', 'dick']",0,0.524,0.476,0.0,-0.5106,2.0,0.0,1.0,1.0,0.0
808_DEPLORABLE,"@JoeBiden Biden has already presented his plan to fight COVID, which was filled with strategies Trump-Pence already… https://t.co/AWGnVHEBVz","['biden', 'already', 'presented', 'plan', 'fight', 'covid', 'filled', 'strategies']",1,0.271,0.729,0.0,-0.3818,3.0,1.0,4.0,1.0,1.0
Corrrine,"The Passionate Eye | NEW Episode

The story of a deeply divided nation through the lives of the two men who want to… https://t.co/zVcMWtfTrS","['passionate', 'eye', 'new', 'episode', 'story', 'deeply', 'divided', 'nation', 'lives', 'two', 'men', 'want']",1,0.0,0.68,0.32,0.5719,3.0,1.0,2.0,0.0,0.0
ahomsher,#Colombia residents living in #Miami &amp; south #Florida are getting lies from relatives back home about @JoeBiden . T… https://t.co/qiPvaLRaVw,"['colombia', 'residents', 'living', 'miami', 'amp', 'south', 'florida', 'getting', 'lies', 'relatives', 'back', 'home']",0,0.203,0.797,0.0,-0.4215,3.0,0.0,2.0,1.0,1.0
ChristianRoule,@ronmorgantrapp1 @JoeBiden I'm not trying to explain how anything may or may not occur. I'm simply asking Trump sup… https://t.co/It8rqXqEz2,"['trying', 'explain', 'anything', 'may', 'may', 'occur', 'simply', 'asking', 'trump']",0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0
cjn54,@sueblueswilson @JoeBiden Works for me if Joe Biden wants equal time on Rush's show he should get it on Rush's show… https://t.co/4VXm69mQqa,"['works', 'joe', 'biden', 'wants', 'equal', 'time', 'rush', 'show', 'get', 'rush']",1,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0
bluestein,"They come ahead of the start of the three-week early voting period that begins Monday. Biden’s wife, Jill, is sched… https://t.co/klmUOuCijX","['come', 'ahead', 'start', 'early', 'voting', 'period', 'begins', 'monday', 'biden', 'wife', 'jill']",1,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0
mandyk1221,@SociallySherri @ABC13News @realDonaldTrump @JoeBiden But Biden isn’t even President.. that would be Trump not controlling the situation,"['biden', 'even', 'president', 'would', 'trump', 'controlling', 'situation']",0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0
trump_friends,"A vote for Creepy Joe Biden will be Obama's third term in office! GET OUT #VoteTrump
Says ~Augustine Chukwuma Obodo… https://t.co/zN6VfDqq3v","['vote', 'creepy', 'joe', 'biden', 'obama', 'third', 'term', 'office', 'get', 'votetrump', 'says', 'chukwuma']",-1,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
trump_friends,"A vote for Creepy Joe Biden will be Obama's third term in office! GET OUT #VoteTrump
Says ~Augustine Chukwuma Obodo… https://t.co/M0HbYKJfQW","['vote', 'creepy', 'joe', 'biden', 'obama', 'third', 'term', 'office', 'get', 'votetrump', 'says', 'chukwuma']",-1,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
Richard94963415,@EMesaLaw @jdistaso @WMUR9 @SenatorTimScott @ChrisSununu Compared to Democrats The GOP is bringing in Big hitters.… https://t.co/1plrfthpYy,"['compared', 'democrats', 'gop', 'bringing', 'big']",0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
